Title,Rating,Price,price,rating
mumba Funda para Nintendo Switch 2 [Titan ] [Compatible con 5 Tarjetas de Juego y 2 Tarjetas TF] Cubierta Protectora de Agarre de TPU Resistente Estuche Diseño de Joy-con (Negro),4.6 de 5 estrellas,$719.10,719.1,4.6
"JETech Estuche Transporte para Nintendo Switch 2 (2025) 7.9 Pulgadas, Bolsa Viajar Portátil Dura Caparazón con 10 Ranuras para Tarjetas Juego y Bolsillo Accesorios, Anti-Arañazos (Negro)",4.4 de 5 estrellas,$399.00,399.0,4.4
Super Mario Party™ Jamboree - Nintendo Switch™ 2 Edition + Jamboree TV (CAN Version),4.8 de 5 estrellas,"$1,599.00",1599.0,4.8
"amFilm (2 Piezas) OneTouch Compatible con Nintendo Switch 2 Modelo 2025-7.9'' Protector de Pantalla, Mica Cristal Vidrio Templado, con Kit de Alineación Automática, Sin Burbujas",4.8 de 5 estrellas,$233.10,233.1,4.8
Nintendo Joy-Con 2-Aufladehalterung,4.7 de 5 estrellas,"$1,063.15",1063.15,4.7
Sonic X Shadows Generations para Nintendo Switch 2,4.4 de 5 estrellas,$901.88,901.88,4.4
Rune Factory Guardians Of Azuma for Nintendo Switch 2,4.8 de 5 estrellas,"$1,534.36",1534.36,4.8
Spyro Reignited Trilogy - Standard Edition - Nintendo Switch,4.6 de 5 estrellas,0,0.0,4.6
Nintendo Switch Super Smash Bros. Ultimate Edition - Switch (Renewed),5.0 de 5 estrellas,"$9,044.60",9044.6,5.0
Pochette de transport et protection d’écran Nintendo Switch 2 - Estándar. Edition,4.4 de 5 estrellas,"$1,334.59",1334.59,4.4
Kirby and the Forgotten Land – Nintendo Switch 2 Edition + Star-Crossed World,4.9 de 5 estrellas,"$1,799.00",1799.0,4.9
Story Of Seasons: Grand Bazaar Premium Edtion for Nintendo Switch 2,4.9 de 5 estrellas,"$1,823.89",1823.89,4.9
"Funda JSAUX para Nintendo Switch 2 2025. Cubierta dura, 20 ranuras para tarjetas de juego, bolsillo grande compatible con JoyCon, cargador y cables. Protección elegante. Negro.",4.5 de 5 estrellas,$599.00,599.0,4.5
Nintendo Switch 2 + Mario Kart World (Bundle),No rating,"$14,246.10",14246.1,0.0
SUPCASE Funda para Nintendo Switch 2 [UBPro Series] Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche compatibles con Nintendo Switch 2 (Negro),4.6 de 5 estrellas,$599.00,599.0,4.6
"JSAUX [3 Unidades] Protector de Pantalla para Nintendo Switch 2 (2025), Vidrio Templado Ultra HD 9H, Fácil de Instalar con Marco Guía, Resistente a Arañazos",4.7 de 5 estrellas,$224.10,224.1,4.7
"Suoman 2 - Pack para Nintendo Switch 2 Protector Pantalla de vidrio templado, [anti - arañazos] película protectora de dureza 9h - kit de instalación de alineación automática",5.0 de 5 estrellas,$259.00,259.0,5.0
Mumba Funda para Nintendo Switch 2 [Titan ] [compatible con 5 tarjetas de juego y 2 tarjetas TF] Cubierta Protectora de Agarre de TPU Accesorios Resistente Estuche (Naranja),5.0 de 5 estrellas,$799.00,799.0,5.0
"FINTIE Case for Switch 2 (2025) with Game Card Slots - Soft Silicone [Anti-Slip] Shock Proof Protective Cover, Ergonomic Grip Case for Switch 2 Console 7.9"" (Red)",4.2 de 5 estrellas,$429.00,429.0,4.2
